index,city,median_price_2014,median_price_2015,median_price_2016,median_price_2017,median_price_2018,median_price_2019,median_price_2020,median_price_2021,median_price_2022,price_volatility,airbnb_density
0,Bronx,325000.0,394000.0,472000.0,490000.0,562500.0,549000.0,589000.0,669000.0,720000.0,0.07573709929645962,9.810158405805316
1,Brooklyn,687000.0,750000.0,799000.0,849000.0,922000.0,799000.0,850000.0,872000.0,799000.0,0.07871442103170567,110.78099352429471
2,Manhattan,1172500.0,996500.0,1145000.0,1300000.0,1100000.0,764500.0,1495000.0,1495000.0,1050000.0,0.3820182164044862,361.7256660376872
3,Queens,399000.0,755000.0,529000.0,849000.0,694000.0,802499.0,1444999.5,830000.0,765000.0,0.4832395282642478,19.641914412977258
4,Staten Island,729000.0,689999.0,699000.0,699000.0,769000.0,748880.0,875000.0,671950.0,639500.0,0.1104094901773495,2.4397024318476075
