brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
51527.0,for_sale,519000.0,1.0,1.0,,1755366.0,Brooklyn,New York,11206.0,600.0,2019-10-10
7923.0,for_sale,749999.0,,,0.05,1499480.0,Bronx,New York,10453.0,3600.0,2017-08-07
102583.0,for_sale,2349000.0,3.0,3.0,,1265086.0,Brooklyn,New York,11217.0,,2016-06-03
33714.0,for_sale,369995.0,2.0,2.0,0.81,1723941.0,Bronx,New York,10473.0,936.0,2018-06-07
45949.0,for_sale,160000.0,1.0,1.0,,1526732.0,Bronx,New York,10471.0,750.0,2018-09-28
81897.0,for_sale,879000.0,7.0,4.0,0.05,737897.0,Bronx,New York,10458.0,3374.0,2020-10-23
85101.0,for_sale,760000.0,1.0,1.0,,927496.0,Brooklyn,New York,11237.0,759.0,2019-06-25
15660.0,for_sale,875900.0,6.0,2.0,0.06,637727.0,Bronx,New York,10457.0,2492.0,2018-04-17
28958.0,for_sale,360000.0,2.0,1.0,,1429028.0,Bronx,New York,10471.0,,2017-06-30
28958.0,for_sale,895000.0,1.0,1.0,,544946.0,Brooklyn,New York,11249.0,,2018-07-20
45595.0,for_sale,725000.0,4.0,4.0,,749689.0,Bronx,New York,10458.0,1776.0,2015-09-30
53300.0,for_sale,149000.0,1.0,1.0,,980859.0,Bronx,New York,10467.0,750.0,2017-12-05
16829.0,for_sale,2000000.0,5.0,5.0,,196314.0,Brooklyn,New York,11213.0,2720.0,2019-07-12
28953.0,for_sale,177000.0,1.0,1.0,,1408777.0,Bronx,New York,10471.0,800.0,2017-08-18
81848.0,for_sale,165000.0,2.0,1.0,,901935.0,Bronx,New York,10467.0,1000.0,2019-02-06
67920.0,for_sale,1895000.0,3.0,4.0,0.46,553725.0,Brooklyn,New York,11225.0,2160.0,2018-10-01
53227.0,for_sale,249000.0,2.0,1.0,,1629473.0,Bronx,New York,10463.0,832.0,2018-05-01
16829.0,for_sale,925000.0,2.0,1.0,,525068.0,Manhattan,New York,10033.0,1010.0,2014-12-03
28958.0,for_sale,425000.0,2.0,1.0,,1438570.0,Bronx,New York,10471.0,,2016-06-29
47333.0,for_sale,765000.0,4.0,2.0,,903883.0,Bronx,New York,10469.0,1620.0,2016-09-07
16829.0,for_sale,1600000.0,2.0,2.0,,753130.0,Manhattan,New York,10128.0,,2019-01-09
16829.0,for_sale,1250000.0,1.0,1.0,,17375.0,Manhattan,New York,10023.0,800.0,2017-11-29
42024.0,for_sale,999000.0,5.0,4.0,0.05,946493.0,Bronx,New York,10473.0,3068.0,2018-04-04
2311.0,for_sale,399000.0,1.0,1.0,,1143388.0,Brooklyn,New York,11226.0,700.0,2014-01-09
15668.0,for_sale,850000.0,,,0.05,814765.0,Bronx,New York,10457.0,1830.0,2019-06-17
53300.0,for_sale,165000.0,1.0,1.0,,1785672.0,Bronx,New York,10473.0,675.0,2019-12-26
16829.0,for_sale,425000.0,2.0,1.0,,1033985.0,Queens,New York,11372.0,,2015-12-15
72177.0,for_sale,450000.0,1.0,1.0,,1183922.0,Brooklyn,New York,11218.0,,2014-02-20
28953.0,for_sale,160000.0,1.0,1.0,,1362287.0,Bronx,New York,10471.0,800.0,2017-07-12
28938.0,for_sale,175000.0,1.0,1.0,,1564805.0,Bronx,New York,10468.0,950.0,2015-12-21
65473.0,for_sale,299000.0,3.0,1.0,,1629472.0,Bronx,New York,10463.0,1015.0,2015-12-02
16829.0,for_sale,399000.0,,1.0,,249185.0,Manhattan,New York,10016.0,,2015-07-07
16829.0,for_sale,1849000.0,1.0,1.0,,1314724.0,Manhattan,New York,10006.0,1080.0,2017-05-17
42024.0,for_sale,1450000.0,8.0,5.0,0.09,445404.0,Bronx,New York,10461.0,2502.0,2016-11-01
28953.0,for_sale,1340000.0,2.0,3.0,,1512307.0,Bronx,New York,10463.0,1600.0,2017-05-15
33714.0,for_sale,340000.0,2.0,2.0,,799183.0,Bronx,New York,10468.0,1100.0,2015-06-11
66155.0,for_sale,589000.0,3.0,2.0,0.05,993997.0,Bronx,New York,10469.0,1664.0,2021-02-01
102372.0,for_sale,518000.0,3.0,2.0,,886147.0,Bronx,New York,10458.0,1200.0,2017-10-02
733.0,for_sale,649999.0,3.0,3.0,0.03,1122585.0,Brooklyn,New York,11212.0,1800.0,2022-01-28
22401.0,for_sale,175999.0,1.0,1.0,,988727.0,Bronx,New York,10468.0,800.0,2016-07-21
16829.0,for_sale,1795000.0,1.0,1.0,,600979.0,Manhattan,New York,10003.0,1000.0,2014-02-10
14288.0,for_sale,580000.0,2.0,2.0,0.04,905734.0,Bronx,New York,10469.0,1584.0,2014-12-11
16829.0,for_sale,695000.0,1.0,1.0,,515041.0,Manhattan,New York,10012.0,,2018-09-17
12787.0,for_sale,1250000.0,2.0,2.0,,356025.0,Brooklyn,New York,11206.0,1197.0,2019-08-07
95770.0,for_sale,800000.0,4.0,2.0,0.05,1213638.0,Brooklyn,New York,11207.0,2880.0,2019-12-23
16829.0,for_sale,525000.0,1.0,1.0,,1046152.0,Brooklyn,New York,11225.0,,2014-01-27
16922.0,for_sale,1399999.0,3.0,2.0,,1640719.0,Brooklyn,New York,11216.0,1206.0,2018-06-15
53270.0,for_sale,799000.0,6.0,3.0,0.05,1233131.0,Bronx,New York,10454.0,2280.0,2015-04-29
28943.0,for_sale,359000.0,,1.0,,752881.0,Brooklyn,New York,11201.0,473.0,2016-11-03
13471.0,for_sale,459000.0,2.0,1.0,,1419001.0,Bronx,New York,10471.0,950.0,2016-03-08
28958.0,for_sale,700000.0,3.0,2.0,,1438581.0,Bronx,New York,10471.0,,2015-12-22
81852.0,for_sale,275000.0,2.0,1.0,,1059222.0,Bronx,New York,10463.0,900.0,2017-09-27
7923.0,for_sale,589000.0,5.0,2.0,0.05,632923.0,Bronx,New York,10457.0,1850.0,2020-10-20
16829.0,for_sale,730000.0,1.0,1.0,,795626.0,Manhattan,New York,10016.0,602.0,2015-01-12
105262.0,for_sale,799000.0,5.0,3.0,0.04,532508.0,Bronx,New York,10460.0,2340.0,2018-07-02
81897.0,for_sale,690000.0,3.0,3.0,,458022.0,Bronx,New York,10462.0,1881.0,2016-09-16
33658.0,for_sale,625000.0,3.0,2.0,0.06,448260.0,Bronx,New York,10461.0,1900.0,2021-12-17
16829.0,for_sale,550000.0,1.0,1.0,,1021268.0,Manhattan,New York,10065.0,,2018-08-02
16829.0,for_sale,460000.0,1.0,1.0,,1012978.0,Manhattan,New York,10039.0,,2016-05-27
20498.0,for_sale,1800000.0,12.0,8.0,0.06,984232.0,Brooklyn,New York,11208.0,,2019-10-07
33714.0,for_sale,208000.0,1.0,1.0,,717910.0,Bronx,New York,10467.0,893.0,2017-11-17
16829.0,for_sale,2500000.0,2.0,3.0,,1437543.0,Manhattan,New York,10038.0,1856.0,2015-01-07
16829.0,for_sale,1650000.0,2.0,2.0,,1312457.0,Queens,New York,11101.0,1086.0,2015-07-29
16829.0,for_sale,1395000.0,2.0,2.0,,18669.0,Brooklyn,New York,11201.0,981.0,2017-05-12
81897.0,for_sale,599988.0,3.0,4.0,0.03,899443.0,Bronx,New York,10469.0,1536.0,2022-02-07
16829.0,for_sale,795000.0,1.0,1.0,,1021052.0,Brooklyn,New York,11215.0,,2018-07-25
65363.0,for_sale,275000.0,2.0,2.0,,693442.0,Bronx,New York,10462.0,,2015-04-15
16442.0,for_sale,189900.0,1.0,1.0,,1060634.0,Bronx,New York,10467.0,750.0,2019-03-19
16829.0,for_sale,1380000.0,2.0,2.0,,734024.0,Brooklyn,New York,11217.0,,2016-08-30
16829.0,for_sale,2350000.0,2.0,2.0,,230698.0,Manhattan,New York,10006.0,1152.0,2014-01-13
16829.0,for_sale,665000.0,2.0,1.0,,1034476.0,Manhattan,New York,10033.0,910.0,2022-02-23
53526.0,for_sale,695000.0,3.0,2.0,0.25,1110946.0,Bronx,New York,10463.0,1237.0,2015-11-25
28942.0,for_sale,440000.0,1.0,1.0,,1142534.0,Brooklyn,New York,11218.0,,2014-09-12
,for_sale,999500.0,2.0,2.0,,1102116.0,Brooklyn,New York,11217.0,,2018-07-11
81422.0,for_sale,175000.0,,1.0,,1081266.0,Bronx,New York,10463.0,600.0,2020-03-13
15574.0,for_sale,699000.0,5.0,2.0,0.06,1000386.0,Bronx,New York,10469.0,2024.0,2017-12-06
52865.0,for_sale,1150000.0,2.0,2.0,,57900.0,Brooklyn,New York,11217.0,,2018-06-13
105262.0,for_sale,264999.0,2.0,2.0,,1668166.0,Bronx,New York,10468.0,950.0,2017-11-06
16829.0,for_sale,369000.0,,1.0,,753805.0,Manhattan,New York,10025.0,,2016-03-29
16829.0,for_sale,199000.0,2.0,1.0,,395919.0,Bronx,New York,10461.0,,2018-08-07
16829.0,for_sale,1175000.0,3.0,3.0,,163203.0,Brooklyn,New York,11221.0,1489.0,2019-08-19
14293.0,for_sale,819888.0,8.0,3.0,0.04,637653.0,Bronx,New York,10457.0,,2016-02-02
10695.0,for_sale,749000.0,3.0,1.0,0.07,31873.0,Bronx,New York,10465.0,960.0,2022-03-09
72994.0,for_sale,825000.0,6.0,2.0,0.06,582765.0,Bronx,New York,10461.0,1648.0,2022-01-24
16398.0,for_sale,474900.0,2.0,1.0,,1102847.0,Bronx,New York,10463.0,1035.0,2017-09-08
52865.0,for_sale,750000.0,1.0,2.0,,1241379.0,Bronx,New York,10463.0,1100.0,2016-03-30
28958.0,for_sale,290000.0,,1.0,,1429031.0,Bronx,New York,10471.0,,2016-02-02
16829.0,for_sale,895000.0,2.0,1.0,,1045890.0,Manhattan,New York,10021.0,,2019-03-05
16829.0,for_sale,6500000.0,3.0,5.0,,1757848.0,Manhattan,New York,10014.0,2584.0,2015-04-08
54326.0,for_sale,1295000.0,5.0,5.0,0.07,289196.0,Brooklyn,New York,11203.0,,2021-06-07
16829.0,for_sale,315000.0,,1.0,,1182061.0,Manhattan,New York,10009.0,,2019-08-26
71477.0,for_sale,585000.0,3.0,3.0,0.02,1709052.0,Bronx,New York,10462.0,1432.0,2017-05-04
16829.0,for_sale,275000.0,2.0,1.0,,931052.0,Bronx,New York,10463.0,,2017-08-09
16829.0,for_sale,1995000.0,4.0,4.0,,672682.0,Brooklyn,New York,11232.0,2115.0,2017-11-28
16829.0,for_sale,1995000.0,5.0,4.0,,1574236.0,Brooklyn,New York,11221.0,2868.0,2016-07-22
22948.0,for_sale,179900.0,1.0,1.0,,888259.0,Bronx,New York,10458.0,745.0,2020-12-16
28953.0,for_sale,1999999.0,10.0,5.0,0.06,96886.0,Bronx,New York,10456.0,3828.0,2016-08-17
28953.0,for_sale,1799999.0,10.0,4.0,0.05,90940.0,Bronx,New York,10452.0,4400.0,2015-08-10
28953.0,for_sale,1399999.0,5.0,4.0,0.06,1529326.0,Bronx,New York,10474.0,3120.0,2016-10-20
28938.0,for_sale,2500000.0,3.0,2.0,,696428.0,Brooklyn,New York,11201.0,,2016-10-24
16829.0,for_sale,1195000.0,2.0,1.0,,740117.0,Manhattan,New York,10011.0,,2016-05-24
44710.0,for_sale,230000.0,2.0,1.0,,660172.0,Bronx,New York,10462.0,925.0,2016-08-12
7923.0,for_sale,779000.0,6.0,3.0,0.03,674110.0,Bronx,New York,10457.0,2784.0,2015-03-17
28943.0,for_sale,435000.0,1.0,1.0,,703731.0,Brooklyn,New York,11226.0,,2015-11-27
78410.0,for_sale,150000.0,1.0,1.0,,683329.0,Bronx,New York,10462.0,,2015-09-25
16829.0,for_sale,3995000.0,3.0,4.0,,927611.0,Manhattan,New York,10065.0,1958.0,2019-03-20
28953.0,for_sale,1900000.0,10.0,8.0,0.04,1427059.0,Bronx,New York,10456.0,8120.0,2018-10-23
